
VillainService.Register -> Villain[0, ]
Card.SetLocation -> Card[Family Emergency, , LocationEnum[4/Exil]]
Card.SetLocation -> Card[The Psych-Magnitron, , LocationEnum[4/Exil]]
Card.SetLocation -> Card[Yon-Rogg, , LocationEnum[4/Exil]]
Card.SetLocation -> Card[Kree Manipulator, , LocationEnum[4/Exil]]
Card.SetLocation -> Card[Kree Manipulator, , LocationEnum[4/Exil]]
Card.SetLocation -> Card[Yon-Rogg's Treason, , LocationEnum[4/Exil]]
Card.SetOwner -> Card[Hulk, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Tigra, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Chase Them Down, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Chase Them Down, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Relentless Assault, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Relentless Assault, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Uppercut, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Uppercut, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[The Power Of Aggression, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[The Power Of Aggression, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Tac Team, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Tac Team, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Combat Training, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Combat Training, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Mockingbird, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Nick Fury, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Emergency, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[First Aid, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Haymaker, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Energy, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Genius, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Strength, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Avengers Mansion, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Helicarrier, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Tenacity, , LocationEnum[2/Deck]]
Villain.InitIdentity -> Villain[0, 8072d77e-33c8-43aa-928a-dd2a8010c3ae]
Card.SetOwner -> Card[Rhino 2, , LocationEnum[5/Battlefield]]
Card.SetOwner -> Card[Rhino 2, , LocationEnum[5/Battlefield]]
Card.SetOwner -> Card[Advance, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Advance, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Assault, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Assault, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Shadow of The past, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Gang Up, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Caught Off Guard, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Armored Rhino Suit, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Charge, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Charge, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Enhanced Ivory Horn, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hydra Mercenary, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hydra Mercenary, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Sandman, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Shocker, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hard to Keep Down, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hard to Keep Down, , LocationEnum[2/Deck]]
Card.SetOwner -> Card["I'm Tough", , LocationEnum[2/Deck]]
Card.SetOwner -> Card["I'm Tough", , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Stampede, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Stampede, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Breakin' & Takin', , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Crowd Control, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[The Break-In! - 1A, , LocationEnum[6/MainScheme]]
Card.SetOwner -> Card[The Break-In! - 1B, , LocationEnum[6/MainScheme]]
Villain.InitLife -> Villain[14, 8072d77e-33c8-43aa-928a-dd2a8010c3ae]
Card.SetOwner -> Card[Bomb Scare, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hydra Bomber, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Hydra Bomber, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[Explosion, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[False Alarm, , LocationEnum[2/Deck]]
Card.SetOwner -> Card[False Alarm, , LocationEnum[2/Deck]]
Card.SetLocation -> Card[Spider-Woman, , LocationEnum[1/Hand]]
Card.SetLocation -> Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card.SetLocation -> Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card.SetLocation -> Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card.SetLocation -> Card[Photonic Blast, , LocationEnum[1/Hand]]
Card.SetLocation -> Card[Photonic Blast, , LocationEnum[1/Hand]]
Setup completed
Card[Captain Marvel, , LocationEnum[5/Battlefield]]
Card[Spider-Woman, , LocationEnum[1/Hand]]
Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card[Crisis Interdiction, , LocationEnum[1/Hand]]
Card[Photonic Blast, , LocationEnum[1/Hand]]
Card[Photonic Blast, , LocationEnum[1/Hand]]
Card[Energy Absorption, , LocationEnum[2/Deck]]
Card[Energy Absorption, , LocationEnum[2/Deck]]
Card[Alpha Flight Station, , LocationEnum[2/Deck]]
Card[Captain Marvel's Helmet, , LocationEnum[2/Deck]]
Card[Cosmic Flight, , LocationEnum[2/Deck]]
Card[Cosmic Flight, , LocationEnum[2/Deck]]
Card[Energy Channel, , LocationEnum[2/Deck]]
Card[Energy Channel, , LocationEnum[2/Deck]]
Card[Family Emergency, , LocationEnum[4/Exil]]
Card[The Psych-Magnitron, , LocationEnum[4/Exil]]
Card[Yon-Rogg, , LocationEnum[4/Exil]]
Card[Kree Manipulator, , LocationEnum[4/Exil]]
Card[Kree Manipulator, , LocationEnum[4/Exil]]
Card[Yon-Rogg's Treason, , LocationEnum[4/Exil]]
Card[Hulk, , LocationEnum[2/Deck]]
Card[Tigra, , LocationEnum[2/Deck]]
Card[Chase Them Down, , LocationEnum[2/Deck]]
Card[Chase Them Down, , LocationEnum[2/Deck]]
Card[Relentless Assault, , LocationEnum[2/Deck]]
Card[Relentless Assault, , LocationEnum[2/Deck]]
Card[Uppercut, , LocationEnum[2/Deck]]
Card[Uppercut, , LocationEnum[2/Deck]]
Card[The Power Of Aggression, , LocationEnum[2/Deck]]
Card[The Power Of Aggression, , LocationEnum[2/Deck]]
Card[Tac Team, , LocationEnum[2/Deck]]
Card[Tac Team, , LocationEnum[2/Deck]]
Card[Combat Training, , LocationEnum[2/Deck]]
Card[Combat Training, , LocationEnum[2/Deck]]
Card[Mockingbird, , LocationEnum[2/Deck]]
Card[Nick Fury, , LocationEnum[2/Deck]]
Card[Emergency, , LocationEnum[2/Deck]]
Card[First Aid, , LocationEnum[2/Deck]]
Card[Haymaker, , LocationEnum[2/Deck]]
Card[Energy, , LocationEnum[2/Deck]]
Card[Genius, , LocationEnum[2/Deck]]
Card[Strength, , LocationEnum[2/Deck]]
Card[Avengers Mansion, , LocationEnum[2/Deck]]
Card[Helicarrier, , LocationEnum[2/Deck]]
Card[Tenacity, , LocationEnum[2/Deck]]
Card[Rhino 2, , LocationEnum[5/Battlefield]]
Card[Rhino 2, , LocationEnum[5/Battlefield]]
Card[Advance, , LocationEnum[2/Deck]]
Card[Advance, , LocationEnum[2/Deck]]
Card[Assault, , LocationEnum[2/Deck]]
Card[Assault, , LocationEnum[2/Deck]]
Card[Shadow of The past, , LocationEnum[2/Deck]]
Card[Gang Up, , LocationEnum[2/Deck]]
Card[Caught Off Guard, , LocationEnum[2/Deck]]
Card[Armored Rhino Suit, , LocationEnum[2/Deck]]
Card[Charge, , LocationEnum[2/Deck]]
Card[Charge, , LocationEnum[2/Deck]]
Card[Enhanced Ivory Horn, , LocationEnum[2/Deck]]
Card[Hydra Mercenary, , LocationEnum[2/Deck]]
Card[Hydra Mercenary, , LocationEnum[2/Deck]]
Card[Sandman, , LocationEnum[2/Deck]]
Card[Shocker, , LocationEnum[2/Deck]]
Card[Hard to Keep Down, , LocationEnum[2/Deck]]
Card[Hard to Keep Down, , LocationEnum[2/Deck]]
Card["I'm Tough", , LocationEnum[2/Deck]]
Card["I'm Tough", , LocationEnum[2/Deck]]
Card[Stampede, , LocationEnum[2/Deck]]
Card[Stampede, , LocationEnum[2/Deck]]
Card[Breakin' & Takin', , LocationEnum[2/Deck]]
Card[Crowd Control, , LocationEnum[2/Deck]]
Card[The Break-In! - 1A, , LocationEnum[6/MainScheme]]
Card[The Break-In! - 1B, , LocationEnum[6/MainScheme]]
Card[Bomb Scare, , LocationEnum[2/Deck]]
Card[Hydra Bomber, , LocationEnum[2/Deck]]
Card[Hydra Bomber, , LocationEnum[2/Deck]]
Card[Explosion, , LocationEnum[2/Deck]]
Card[False Alarm, , LocationEnum[2/Deck]]
Card[False Alarm, , LocationEnum[2/Deck]]
